City,_1950,_1960,_1970,_1980,_1990,_2000,_2010
Bay Village,10/6917,6/14489,3/18163,9/17839,17/17000,43/16087,85/15651
Beachwood,13/1073,37/6089,207/9631,593/9983,847/10677,1106/12186,1635/11953
Bedford,5/9105,2/15223,0/17552,39/15003,640/14822,2506/14214,5479/13074
Bedford Hts.,354/3507,1/5275,113/13063,3523/13214,6378/12131,7669/11375,8263/10751
Bentleyville,3/152,0/301,5/338,3/381,8/674,8/947,6/864
Berea,382/12051,450/16592,701/22396,969/19636,1014/19051,974/18970,1260/19093
Bratenahl,11/1240,21/1332,14/1613,45/1485,83/1356,165/1337,186/1197
Brecksville,26/2665,28/5435,172/9137,192/10132,232/11818,255/13382,238/13656
Broadview Hts.,2/2279,67/6209,53/11463,98/10909,141/12219,126/15967,400/19400
Brook Park,35/2606,6/12856,80/30774,278/26195,242/22865,414/21218,624/19212
Brooklyn,0/6317,0/10733,21/13142,67/12342,107/11706,196/11586,577/11169
Brooklyn Hts.,1/931,0/1449,0/1527,1/1653,4/1450,12/1558,18/1543
Chagrin Falls,0/3085,1/3458,19/4711,14/4335,14/4146,2/4024,18/4104
Chagrin Falls Twp.,0/55,0/65,0/85,0/136,0/202,0/135,0/115
Cleveland Hts.,434/59141,241/61813,1465/60767,14061/56438,20053/54052,20949/49958,19587/46238
Cuyahoga Hts.,0/713,0/796,0/866,0/739,0/682,0/599,4/638
East Cleveland,82/40047,804/37991,23144/39600,31980/36957,31008/33096,25305/27217,16638/17843
Euclid,79/41396,44/62998,299/71552,4548/59999,8764/54875,16114/52717,25751/48920
Fairview Park,2/9311,5/14624,5/21681,16/19283,41/18028,113/17572,303/16826
Garfield Hts.,105/21662,225/38455,1837/41417,4977/34938,4688/31739,5164/30734,10288/28849
Gates Mills,12/1056,31/1588,0/2378,6/2236,5/2508,23/2493,30/2270
Glenwillow,0/257,2/359,9/508,6/492,5/455,19/449,265/923
Highland Hts.,0/762,0/2929,11/5926,3/5739,19/6249,112/8082,155/8345
Hunting Valley,7/477,7/629,3/797,6/786,1/799,1/735,4/707
Independence,0/3105,6/6568,9/7034,8/6607,20/6500,41/7109,30/7133
Lakewood,61/68160,23/66154,19/70173,143/61963,508/59718,1116/56646,3340/52131
Linndale,11/399,25/381,0/169,7/129,36/159,22/117,50/179
Lyndhurst,3/7359,11/16805,0/19749,30/18093,75/15982,205/15279,901/14001
Maple Hts.,167/15586,255/31667,679/34093,968/29465,3988/27089,11598/26156,15788/23138
Mayfield  ,8/805,0/1977,0/3548,0/3577,9/3462,45/3435,96/3460
Mayfield Hts.,11/5807,14/13478,46/22139,223/21550,379/19847,577/19386,1979/19155
Middleburg Hts.,17/3299,10/7282,4/12367,46/16228,107/14702,206/15542,253/15946
Moreland Hills,6/1040,8/2188,5/2952,20/3083,49/3354,100/3298,123/3303
Newburgh Hts.,0/3689,0/3512,0/3396,0/2678,14/2310,75/2389,323/2167
North Olmsted,1/6604,6/16290,4/34861,181/36480,236/34204,345/34113,654/32718
North Randall,1/178,2/688,3/1212,203/1054,522/977,650/906,886/1027
North Royalton,1/3939,0/9290,0/12807,23/17705,97/23197,203/28648,348/30444
Oakwood,,884/3283,905/3499,1633/3786,1650/3392,2062/3662,2372/3667
Olmsted Falls,1/1137,0/2144,0/2504,57/5868,31/6741,104/7962,179/9024
Olmsted Twp.,2/2562,23/4773,50/6318,52/6976,45/8333,119/10575,318/13504
Orange,4/897,3/2006,30/2112,202/2376,268/2810,409/3236,480/3323
Parma,30/28897,132/82845,41/100216,364/92548,641/87876,905/85655,1887/81601
Parma Hts.,19/3901,0/18100,0/27192,27/23112,82/21448,253/21659,571/20718
Pepper Pike,4/874,21/3217,32/5382,87/6177,205/6185,294/6040,386/5979
Richmond Hts.,1/891,4/5068,7/9220,114/10095,743/9611,2614/10944,4731/10546
Riveredge Twp.,0/125,0/416,0/642,1/477,,,
Rocky River,22/11237,27/18907,14/22958,24/21084,39/21110,84/21105,204/20213
Seven Hills,0/1350,0/5708,0/12700,9/13650,14/12339,18/12080,96/11804
Shaker Hts.,558/28222,356/36460,5227/36306,7917/32487,9453/30831,10251/29405,10545/28448
Solon,24/2570,4/6333,3/11519,127/13950,625/18548,1334/21802,2476/23348
South Euclid,28/15432,22/27659,8/29579,569/25713,2179/23866,5060/23537,9073/22295
Strongsville,4/3504,1/8504,22/15182,192/28577,275/35308,551/43858,845/44750
University Hts.,107/11566,45/16641,78/17055,1475/15401,2417/14790,2916/14146,3133/13539
Valley View,11/998,9/1221,0/1422,0/1576,15/2137,6/2179,31/2034
Walton Hills,246/2303,13/1776,30/2530,0/2199,33/2371,50/2400,185/2281
Warrensville Hts.,8/4126,20/10609,4007/18925,12416/16565,14011/15745,13780/15109,12657/13542
Warrensville Twp. / Highland Hills,370/1877,471/2261,634/2139,741/1640,1052/1934,1053/1618,841/1130
Westlake,2/4912,2/12906,14/15689,25/19475,162/27018,301/31719,518/32729
Woodmere,61/419,138/398,274/1041,338/877,405/834,411/828,547/884